ID,age,year_sampling,year_of_birth,sex,HA,hapto,initial_lysis,pre-scan_absorbance,assay_batch_HAHL,assay_batch_hapto,storage_time_HAHL,storage_time_hapto
335,11,2008,1997,1,12.0,,1.0,,2017.0,,9.0,
335,12,2009,1997,1,10.0,,1.0,,2017.0,,8.0,
335,13,2010,1997,1,10.0,,8.0,,2017.0,,7.0,
335,14,2011,1997,1,13.0,,3.0,,2017.0,,6.0,
335,15,2012,1997,1,14.0,,8.0,,2017.0,,5.0,
335,16,2013,1997,1,12.0,,3.0,,2017.0,,4.0,
336,8,2009,2001,2,12.0,,4.0,,2017.0,,8.0,
336,11,2012,2001,2,12.0,,2.0,,2017.0,,5.0,
337,3,2017,2014,2,11.0,0.0,1.0,0.181,2018.0,2018.0,1.0,1.0
337,4,2018,2014,2,9.0,0.292202,4.0,0.143,2018.0,2018.0,0.0,0.0
337,5,2019,2014,2,11.0,0.531566,4.0,0.155,2020.0,2020.0,1.0,1.0
338,3,2011,2008,2,12.0,,8.0,,2017.0,,6.0,
338,5,2013,2008,2,10.0,,2.0,,2017.0,,4.0,
339,8,2009,2001,1,7.0,0.071945,1.0,0.115,2017.0,2017.0,8.0,8.0
339,13,2014,2001,1,8.0,,4.0,,2017.0,,3.0,
339,15,2016,2001,1,9.0,0.091784,2.0,0.153,2017.0,2017.0,1.0,1.0
339,16,2017,2001,1,8.0,0.078558,3.0,0.126,2017.0,2017.0,0.0,0.0
339,17,2018,2001,1,15.0,1.542307,6.0,0.306,2018.0,2018.0,0.0,0.0
339,18,2019,2001,1,10.0,0.252382,2.0,0.114,2020.0,2020.0,1.0,1.0
340,11,2012,2001,1,12.0,,4.0,,2017.0,,5.0,
341,5,2016,2011,1,12.0,0.065332,1.0,0.131,2017.0,2017.0,1.0,1.0
341,6,2017,2011,1,12.0,0.485245,4.0,0.199,2017.0,2017.0,0.0,0.0
341,7,2018,2011,1,11.0,1.325171,6.0,0.296,2018.0,2018.0,0.0,0.0
341,8,2019,2011,1,11.0,0.273321,3.0,0.197,2020.0,2020.0,1.0,1.0
342,13,2011,1998,2,13.0,,4.0,,2017.0,,6.0,
342,15,2013,1998,2,10.0,,2.0,,2017.0,,4.0,
343,6,2018,2012,1,13.0,,7.0,,2019.0,,1.0,
343,7,2019,2012,1,9.0,0.316051,4.0,0.158,2020.0,2020.0,1.0,1.0
344,12,2012,2000,2,12.0,,4.0,,2017.0,,5.0,
345,8,2008,2000,1,12.0,,5.0,,2017.0,,9.0,
345,12,2012,2000,1,12.0,,2.0,,2017.0,,5.0,
346,6,2017,2011,1,10.0,,2.0,,2019.0,,2.0,
