ID,Age_class,site,First_captured,Year_birth,Cohort_birth,sex,cohort_sexual_maturity,AFR,Last_captured,lifespan,weaned_juv,age,nb_juv,season
I007,A,MV4,27/05/2013,2012,Spring ,M,Intermediate sexual maturity,15,21/06/2014,25.0,1,15,1,Pre-mast
I007,A,MV4,27/05/2013,2012,Spring ,M,Intermediate sexual maturity,15,21/06/2014,25.0,1,22,3,Post-mast
I009,A,MV4,27/05/2013,2012,Spring ,F,Intermediate sexual maturity,15,27/06/2016,50.0,1,15,3,Pre-mast
I009,A,MV4,27/05/2013,2012,Spring ,F,Intermediate sexual maturity,15,27/06/2016,50.0,1,22,2,Post-mast
I009,A,MV4,27/05/2013,2012,Spring ,F,Intermediate sexual maturity,15,27/06/2016,50.0,1,37,3,Pre-mast
I009,A,MV4,27/05/2013,2012,Spring ,F,Intermediate sexual maturity,15,27/06/2016,50.0,1,44,1,Post-mast
I011,A,MV1,28/05/2013,2012,Spring ,M,Intermediate sexual maturity,15,11/06/2014,25.0,1,15,3,Pre-mast
I011,A,MV1,28/05/2013,2012,Spring ,M,Intermediate sexual maturity,15,11/06/2014,25.0,1,22,1,Post-mast
I014,A,MV4,31/05/2013,2012,Spring ,F,Intermediate sexual maturity,15,05/09/2015,40.0,0,15,0,Pre-mast
I014,A,MV4,31/05/2013,2012,Spring ,F,Intermediate sexual maturity,15,05/09/2015,40.0,1,22,2,Post-mast
I014,A,MV4,31/05/2013,2012,Spring ,F,Intermediate sexual maturity,15,05/09/2015,40.0,0,37,0,Pre-mast
I015,A,MV4,31/05/2013,2012,Spring ,F,Intermediate sexual maturity,15,28/05/2016,49.0,1,15,4,Pre-mast
I015,A,MV4,31/05/2013,2012,Spring ,F,Intermediate sexual maturity,15,28/05/2016,49.0,0,22,0,Post-mast
I015,A,MV4,31/05/2013,2012,Spring ,F,Intermediate sexual maturity,15,28/05/2016,49.0,1,37,5,Pre-mast
I016,A,MV4,31/05/2013,2012,Spring ,M,Intermediate sexual maturity,15,19/08/2015,39.0,1,15,2,Pre-mast
I016,A,MV4,31/05/2013,2012,Spring ,M,Intermediate sexual maturity,15,19/08/2015,39.0,1,22,2,Post-mast
I016,A,MV4,31/05/2013,2012,Spring ,M,Intermediate sexual maturity,15,19/08/2015,39.0,0,37,0,Pre-mast
I018,A,MV1,01/06/2013,2012,Spring ,M,Intermediate sexual maturity,15,30/06/2015,38.0,0,15,0,Pre-mast
I018,A,MV1,01/06/2013,2012,Spring ,M,Intermediate sexual maturity,15,30/06/2015,38.0,0,22,0,Post-mast
I018,A,MV1,01/06/2013,2012,Spring ,M,Intermediate sexual maturity,15,30/06/2015,38.0,1,37,1,Pre-mast
I021,A,MV1,01/06/2013,2012,Spring ,F,Intermediate sexual maturity,15,28/08/2013,15.0,1,15,1,Pre-mast
I022,A,MV4,03/06/2013,2012,Spring ,F,Intermediate sexual maturity,15,07/09/2013,16.0,1,15,3,Pre-mast
I022,A,MV4,03/06/2013,2012,Spring ,F,Intermediate sexual maturity,15,07/09/2013,16.0,1,22,1,Post-mast
I024,A,MV4,04/06/2013,2012,Spring ,M,Intermediate sexual maturity,15,26/06/2013,13.0,1,15,1,Pre-mast
I027,A,MV4,10/06/2013,2012,Spring ,F,Intermediate sexual maturity,15,07/06/2015,37.0,1,15,4,Pre-mast
I027,A,MV4,10/06/2013,2012,Spring ,F,Intermediate sexual maturity,15,07/06/2015,37.0,1,22,1,Post-mast
I027,A,MV4,10/06/2013,2012,Spring ,F,Intermediate sexual maturity,15,07/06/2015,37.0,0,37,0,Pre-mast
I028,A,MV4,10/06/2013,2012,Spring ,M,Intermediate sexual maturity,15,17/09/2013,16.0,1,15,1,Pre-mast
I029,A,MV1,01/06/2013,2012,Spring ,F,Intermediate sexual maturity,15,05/09/2013,15.0,1,15,2,Pre-mast
I037,A,MV1,23/06/2013,2012,Spring ,F,Intermediate sexual maturity,15,13/06/2015,37.0,1,15,1,Pre-mast
I037,A,MV1,23/06/2013,2012,Spring ,F,Intermediate sexual maturity,15,13/06/2015,37.0,0,22,0,Post-mast
I037,A,MV1,23/06/2013,2012,Spring ,F,Intermediate sexual maturity,15,13/06/2015,37.0,0,37,0,Pre-mast
I047,A,MV4,29/06/2013,2012,Spring ,M,Intermediate sexual maturity,15,17/07/2013,14.0,1,15,1,Pre-mast
I051,A,MV4,30/06/2013,2012,Spring ,M,Intermediate sexual maturity,15,14/06/2014,25.0,1,15,1,Pre-mast
I051,A,MV4,30/06/2013,2012,Spring ,M,Intermediate sexual maturity,15,14/06/2014,25.0,1,22,1,Post-mast
I053,A,MV1,16/07/2013,2012,Spring ,M,Intermediate sexual maturity,15,29/08/2017,64.0,0,15,0,Pre-mast
I053,A,MV1,16/07/2013,2012,Spring ,M,Intermediate sexual maturity,15,29/08/2017,64.0,1,22,4,Post-mast
I053,A,MV1,16/07/2013,2012,Spring ,M,Intermediate sexual maturity,15,29/08/2017,64.0,1,37,1,Pre-mast
I053,A,MV1,16/07/2013,2012,Spring ,M,Intermediate sexual maturity,15,29/08/2017,64.0,1,44,1,Post-mast
I053,A,MV1,16/07/2013,2012,Spring ,M,Intermediate sexual maturity,15,29/08/2017,64.0,0,59,0,Pre-mast
I075,J,MV4,11/09/2013,2013,Summer,F,Late sexual maturity,22,14/06/2016,34.0,0,7,0,Post-mast
I075,J,MV4,11/09/2013,2013,Summer,F,Late sexual maturity,22,14/06/2016,34.0,1,22,5,Pre-mast
I075,J,MV4,11/09/2013,2013,Summer,F,Late sexual maturity,22,14/06/2016,34.0,1,30,4,Post-mast
I077,J,MV4,14/09/2013,2013,Summer,F,Early sexual maturity,7,01/07/2014,10.0,1,7,2,Post-mast
I081,J,MV4,15/09/2013,2013,Summer,M,Early sexual maturity,7,06/06/2014,9.0,1,7,2,Post-mast
I082,J,MV4,15/09/2013,2013,Summer,F,Early sexual maturity,7,01/07/2014,10.0,1,7,4,Post-mast
I084,J,MV4,15/09/2013,2013,Summer,M,Early sexual maturity,7,25/06/2015,22.0,0,7,0,Post-mast
