Obs_num,Rep,F1_ID,F0_ID,Paternal_age,Paternal_sperm_age,Treatment,Sex,F1_Age,F2_Count,LS,Censored,Mean_age,Delta_age,ALR,Mean_age2,Age2
3450,R4,D2.R4.OY.13,R4.OY.13,O,Y,OY,Female,4,74,27,1,11,-7,18,121,16
3839,R4,D2.R4.OY.13,R4.OY.13,O,Y,OY,Female,18,0,27,1,11,7,18,121,324
3444,R4,D3.R4.OO.17,R4.OO.17,O,O,OO,Female,4,58,27,1,18,-14,32,324,16
3837,R4,D3.R4.OO.17,R4.OO.17,O,O,OO,Female,18,72,27,1,18,0,32,324,324
4232,R4,D3.R4.OO.17,R4.OO.17,O,O,OO,Female,32,34,27,1,18,14,32,324,1024
89,R1,D1.R1.OO.35,R1.OO.35,O,O,OO,Female,4,63,28,1,11,-7,18,121,16
1063,R1,D1.R1.OO.35,R1.OO.35,O,O,OO,Female,18,61,28,1,11,7,18,121,324
666,R2,D1.R2.OO.38,R2.OO.38,O,O,OO,Female,4,68,28,1,11,-7,18,121,16
1317,R2,D1.R2.OO.38,R2.OO.38,O,O,OO,Female,18,10,28,1,11,7,18,121,324
576,R2,D1.R2.OY.43,R2.OY.43,O,Y,OY,Female,4,74,28,1,11,-7,18,121,16
1458,R2,D1.R2.OY.43,R2.OY.43,O,Y,OY,Female,18,57,28,1,11,7,18,121,324
582,R2,D1.R2.YO.21,R2.YO.21,Y,O,YO,Female,4,57,28,1,11,-7,18,121,16
1456,R2,D1.R2.YO.21,R2.YO.21,Y,O,YO,Female,18,45,28,1,11,7,18,121,324
600,R2,D1.R2.YO.4,R2.YO.4,Y,O,YO,Female,4,59,28,1,11,-7,18,121,16
1322,R2,D1.R2.YO.4,R2.YO.4,Y,O,YO,Female,18,0,28,1,11,7,18,121,324
679,R2,D2.R2.OO.18,R2.OO.18,O,O,OO,Female,4,83,28,1,11,-7,18,121,16
1477,R2,D2.R2.OO.18,R2.OO.18,O,O,OO,Female,18,68,28,1,11,7,18,121,324
508,R2,D2.R2.OY.4,R2.OY.4,O,Y,OY,Female,4,74,28,1,11,-7,18,121,16
1365,R2,D2.R2.OY.4,R2.OY.4,O,Y,OY,Female,18,46,28,1,11,7,18,121,324
119,R1,D3.R1.OO.16,R1.OO.16,O,O,OO,Female,4,81,28,1,11,-7,18,121,16
959,R1,D3.R1.OO.16,R1.OO.16,O,O,OO,Female,18,0,28,1,11,7,18,121,324
9,R1,D3.R1.OY.25,R1.OY.25,O,Y,OY,Female,4,47,28,1,11,-7,18,121,16
1147,R1,D3.R1.OY.25,R1.OY.25,O,Y,OY,Female,18,63,28,1,11,7,18,121,324
81,R1,D3.R1.OY.3,R1.OY.3,O,Y,OY,Female,4,38,28,1,11,-7,18,121,16
1023,R1,D3.R1.OY.3,R1.OY.3,O,Y,OY,Female,18,8,28,1,11,7,18,121,324
93,R1,D3.R1.YY.13,R1.YY.13,Y,Y,YY,Female,4,81,28,1,11,-7,18,121,16
1021,R1,D3.R1.YY.13,R1.YY.13,Y,Y,YY,Female,18,11,28,1,11,7,18,121,324
688,R2,D3.R2.OO.64,R2.OO.64,O,O,OO,Female,4,58,28,1,11,-7,18,121,16
1395,R2,D3.R2.OO.64,R2.OO.64,O,O,OO,Female,18,52,28,1,11,7,18,121,324
559,R2,D3.R2.OY.11,R2.OY.11,O,Y,OY,Female,4,62,28,1,11,-7,18,121,16
1344,R2,D3.R2.OY.11,R2.OY.11,O,Y,OY,Female,18,0,28,1,11,7,18,121,324
599,R2,D3.R2.YY.22,R2.YY.22,Y,Y,YY,Female,4,61,28,1,11,-7,18,121,16
1331,R2,D3.R2.YY.22,R2.YY.22,Y,Y,YY,Female,18,0,28,1,11,7,18,121,324
470,R2,D3.R2.YY.27,R2.YY.27,Y,Y,YY,Female,4,0,28,1,11,-7,18,121,16
1348,R2,D3.R2.YY.27,R2.YY.27,Y,Y,YY,Female,18,0,28,1,11,7,18,121,324
77,R1,D1.R1.OY.71,R1.OY.71,O,Y,OY,Female,4,69,29,1,11,-7,18,121,16
1065,R1,D1.R1.OY.71,R1.OY.71,O,Y,OY,Female,18,0,29,1,11,7,18,121,324
221,R1,D1.R1.YY.10,R1.YY.10,Y,Y,YY,Female,4,84,29,1,11,-7,18,121,16
1003,R1,D1.R1.YY.10,R1.YY.10,Y,Y,YY,Female,18,17,29,1,11,7,18,121,324
130,R1,D1.R1.YY.14,R1.YY.14,Y,Y,YY,Female,4,64,29,1,11,-7,18,121,16
975,R1,D1.R1.YY.14,R1.YY.14,Y,Y,YY,Female,18,0,29,1,11,7,18,121,324
185,R1,D1.R1.YY.26,R1.YY.26,Y,Y,YY,Female,4,88,29,1,11,-7,18,121,16
1015,R1,D1.R1.YY.26,R1.YY.26,Y,Y,YY,Female,18,0,29,1,11,7,18,121,324
619,R2,D1.R2.OO.31,R2.OO.31,O,O,OO,Female,4,74,29,1,11,-7,18,121,16
1335,R2,D1.R2.OO.31,R2.OO.31,O,O,OO,Female,18,0,29,1,11,7,18,121,324
646,R2,D1.R2.YY.16,R2.YY.16,Y,Y,YY,Female,4,86,29,1,11,-7,18,121,16
1349,R2,D1.R2.YY.16,R2.YY.16,Y,Y,YY,Female,18,0,29,1,11,7,18,121,324
465,R2,D1.R2.YY.9,R2.YY.9,Y,Y,YY,Female,4,97,29,1,11,-7,18,121,16
1539,R2,D1.R2.YY.9,R2.YY.9,Y,Y,YY,Female,18,61,29,1,11,7,18,121,324
3235,R3,D1.R3.OO.1,R3.OO.1,O,O,OO,Female,4,5,29,1,11,-7,18,121,16
3595,R3,D1.R3.OO.1,R3.OO.1,O,O,OO,Female,18,0,29,1,11,7,18,121,324
3221,R3,D1.R3.OO.8,R3.OO.8,O,O,OO,Female,4,56,29,1,11,-7,18,121,16
3628,R3,D1.R3.OO.8,R3.OO.8,O,O,OO,Female,18,0,29,1,11,7,18,121,324
3363,R4,D1.R4.OY.15,R4.OY.15,O,Y,OY,Female,4,28,29,1,11,-7,18,121,16
3869,R4,D1.R4.OY.15,R4.OY.15,O,Y,OY,Female,18,0,29,1,11,7,18,121,324
204,R1,D2.R1.OY.18,R1.OY.18,O,Y,OY,Female,4,91,29,1,11,-7,18,121,16
957,R1,D2.R1.OY.18,R1.OY.18,O,Y,OY,Female,18,56,29,1,11,7,18,121,324
5,R1,D2.R1.OY.25,R1.OY.25,O,Y,OY,Female,4,61,29,1,11,-7,18,121,16
1116,R1,D2.R1.OY.25,R1.OY.25,O,Y,OY,Female,18,0,29,1,11,7,18,121,324
2,R1,D2.R1.YY.9,R1.YY.9,Y,Y,YY,Female,4,52,29,1,11,-7,18,121,16
1143,R1,D2.R1.YY.9,R1.YY.9,Y,Y,YY,Female,18,57,29,1,11,7,18,121,324
486,R2,D2.R2.OY.28,R2.OY.28,O,Y,OY,Female,4,0,29,1,11,-7,18,121,16
1482,R2,D2.R2.OY.28,R2.OY.28,O,Y,OY,Female,18,52,29,1,11,7,18,121,324
557,R2,D2.R2.YY.16,R2.YY.16,Y,Y,YY,Female,4,60,29,1,11,-7,18,121,16
1347,R2,D2.R2.YY.16,R2.YY.16,Y,Y,YY,Female,18,0,29,1,11,7,18,121,324
3378,R4,D2.R4.YO.10,R4.YO.10,Y,O,YO,Female,4,79,29,1,11,-7,18,121,16
3902,R4,D2.R4.YO.10,R4.YO.10,Y,O,YO,Female,18,0,29,1,11,7,18,121,324
3377,R4,D2.R4.YO.26,R4.YO.26,Y,O,YO,Female,4,71,29,1,11,-7,18,121,16
3853,R4,D2.R4.YO.26,R4.YO.26,Y,O,YO,Female,18,33,29,1,11,7,18,121,324
105,R1,D3.R1.OO.4,R1.OO.4,O,O,OO,Female,4,71,29,1,11,-7,18,121,16
948,R1,D3.R1.OO.4,R1.OO.4,O,O,OO,Female,18,0,29,1,11,7,18,121,324
546,R2,D3.R2.OY.16,R2.OY.16,O,Y,OY,Female,4,66,29,1,11,-7,18,121,16
1516,R2,D3.R2.OY.16,R2.OY.16,O,Y,OY,Female,18,60,29,1,11,7,18,121,324
686,R2,D3.R2.OY.28,R2.OY.28,O,Y,OY,Female,4,47,29,1,11,-7,18,121,16
1473,R2,D3.R2.OY.28,R2.OY.28,O,Y,OY,Female,18,24,29,1,11,7,18,121,324
543,R2,D3.R2.YO.20,R2.YO.20,Y,O,YO,Female,4,69,29,1,11,-7,18,121,16
1514,R2,D3.R2.YO.20,R2.YO.20,Y,O,YO,Female,18,38,29,1,11,7,18,121,324
575,R2,D3.R2.YO.3,R2.YO.3,Y,O,YO,Female,4,71,29,1,11,-7,18,121,16
1446,R2,D3.R2.YO.3,R2.YO.3,Y,O,YO,Female,18,62,29,1,11,7,18,121,324
